id,name,description,property_type,price,location,host_name,ratings,reviews,image
1,Oceanview Villa,Luxury villa with private pool,villa,15000,Goa,Aarav Mehta,4.8,56,https://example.com/images/property1.jpg
2,Green Valley Farmhouse,Secluded farmhouse with garden,farmhouse,9000,Pune,Sneha Patil,4.5,34,https://example.com/images/property2.jpg
3,Sunrise Resort,Family-friendly resort with pool,resort,12000,Kerala,Kiran Sharma,4.7,45,https://example.com/images/property3.jpg
4,Blue Lagoon Apartment,Modern apartment near city center,apartment,8000,Bangalore,Ananya Reddy,4.6,32,https://example.com/images/property4.jpg
5,Cozy Beach House,Beachfront house with amazing sunset views,beach-house,14000,Goa,Varun Singh,4.9,61,https://example.com/images/property5.jpg
6,Luxury Hotel Grand,5-star hotel with spa and gym,hotel,20000,Mumbai,Rekha Sharma,4.8,78,https://example.com/images/property6.jpg
7,Riverfront Cottage,Peaceful riverside cottage,cottage,7000,Rishikesh,Aditi Kapoor,4.4,29,https://example.com/images/property7.jpg
8,Hillside Homestay,Charming homestay in the hills,homestay,6000,Manali,Rahul Verma,4.5,35,https://example.com/images/property8.jpg
9,Modern Villa Estate,Spacious modern villa,villa,16000,Goa,Sofia Mehta,4.7,42,https://example.com/images/property9.jpg
10,Sunny Farmhouse,Large farmhouse with orchard,farmhouse,9500,Pune,Aditya Singh,4.6,28,https://example.com/images/property10.jpg
11,Paradise Resort,Exclusive resort with private beach,resort,18000,Kerala,Neha Reddy,4.9,55,https://example.com/images/property11.jpg
12,Downtown Apartment,Cozy apartment in downtown area,apartment,7500,Bangalore,Manish Kumar,4.3,31,https://example.com/images/property12.jpg
13,Seaside Beach House,Beautiful beach house with deck,beach-house,14500,Goa,Shreya Nair,4.8,49,https://example.com/images/property13.jpg
14,Grand Royal Hotel,Luxury hotel with city view,hotel,22000,Mumbai,Rahul Kapoor,4.9,82,https://example.com/images/property14.jpg
15,Forest Cottage,Quiet cottage surrounded by forest,cottage,6800,Rishikesh,Sonia Verma,4.5,26,https://example.com/images/property15.jpg
16,Mountain Homestay,Cozy homestay with mountain views,homestay,6200,Manali,Ritika Sharma,4.6,33,https://example.com/images/property16.jpg
17,Elite Villa Residence,Luxury villa with infinity pool,villa,17000,Goa,Ayaan Mehta,4.8,48,https://example.com/images/property17.jpg
18,Country Farmhouse,Traditional farmhouse with farm,farmhouse,9800,Pune,Shivani Patil,4.6,30,https://example.com/images/property18.jpg
19,Ocean Resort,Resort with ocean view rooms,resort,16000,Kerala,Deepak Reddy,4.7,52,https://example.com/images/property19.jpg
20,City Apartment,Stylish apartment near shopping district,apartment,7800,Bangalore,Meera Singh,4.4,29,https://example.com/images/property20.jpg
21,Sunset Beach House,Modern beach house with terrace,beach-house,15000,Goa,Karan Sharma,4.9,60,https://example.com/images/property21.jpg
22,Plaza Hotel,Luxury hotel with spa and pool,hotel,21000,Mumbai,Aarushi Verma,4.8,79,https://example.com/images/property22.jpg
23,Lake Cottage,Secluded lakefront cottage,cottage,7000,Rishikesh,Ankit Kapoor,4.5,27,https://example.com/images/property23.jpg
24,Hilltop Homestay,Homestay with hill views,homestay,6500,Manali,Divya Nair,4.6,34,https://example.com/images/property24.jpg
25,Royal Villa,Luxury villa with private garden,villa,16500,Goa,Sohail Mehta,4.7,44,https://example.com/images/property25.jpg
26,Sunny Farmhouse,Spacious farmhouse with greenery,farmhouse,9700,Pune,Ananya Sharma,4.6,31,https://example.com/images/property26.jpg
27,Tropical Resort,Resort with tropical gardens,resort,17500,Kerala,Rahul Reddy,4.8,50,https://example.com/images/property27.jpg
28,Urban Apartment,Modern apartment in city center,apartment,7900,Bangalore,Kavya Singh,4.5,28,https://example.com/images/property28.jpg
29,Coral Beach House,Beach house with private deck,beach-house,14800,Goa,Sana Kapoor,4.9,58,https://example.com/images/property29.jpg
30,Metropolitan Hotel,5-star hotel with luxury suites,hotel,23000,Mumbai,Varun Sharma,4.9,85,https://example.com/images/property30.jpg
31,Forest Cottage,Cozy forest cottage,cottage,6900,Rishikesh,Ritika Verma,4.5,29,https://example.com/images/property31.jpg
32,Mountain Homestay,Homestay with panoramic mountain view,homestay,6300,Manali,Aditya Nair,4.6,35,https://example.com/images/property32.jpg
33,Oceanfront Villa,Luxury villa with sea view,villa,17200,Goa,Shreya Mehta,4.8,50,https://example.com/images/property33.jpg
34,Riverside Farmhouse,Farmhouse by the river,farmhouse,9600,Pune,Kiran Patil,4.6,32,https://example.com/images/property34.jpg
35,Seaside Resort,Resort with beach access,resort,16800,Kerala,Neha Sharma,4.7,53,https://example.com/images/property35.jpg
36,City Center Apartment,Apartment near metro station,apartment,8000,Bangalore,Sonia Singh,4.5,30,https://example.com/images/property36.jpg
37,Sandy Beach House,Beach house with modern amenities,beach-house,15200,Goa,Rahul Kapoor,4.9,59,https://example.com/images/property37.jpg
38,Grand Luxury Hotel,Luxury hotel with rooftop pool,hotel,22500,Mumbai,Aarav Sharma,4.9,81,https://example.com/images/property38.jpg
39,Lakeview Cottage,Cottage with lake view,cottage,7100,Rishikesh,Sophia Verma,4.5,28,https://example.com/images/property39.jpg
40,Hilltop Homestay Deluxe,Homestay with private balcony,homestay,6600,Manali,Divya Mehta,4.6,36,https://example.com/images/property40.jpg
41,Sunset Villa,Luxury villa with sunset view,villa,17500,Goa,Kavya Mehta,4.8,52,https://example.com/images/property41.jpg
42,Green Acres Farmhouse,Farmhouse with orchard,farmhouse,9900,Pune,Aditya Patil,4.6,33,https://example.com/images/property42.jpg
43,Tropical Paradise Resort,Resort with spa and pool,resort,17800,Kerala,Rahul Sharma,4.8,51,https://example.com/images/property43.jpg
44,Modern City Apartment,Stylish apartment in downtown,apartment,8100,Bangalore,Meera Verma,4.5,29,https://example.com/images/property44.jpg
45,Seaside Beachfront House,Modern beach house,beach-house,15500,Goa,Karan Kapoor,4.9,62,https://example.com/images/property45.jpg
46,Regal Hotel,Luxury hotel in city center,hotel,24000,Mumbai,Ananya Verma,4.9,88,https://example.com/images/property46.jpg
47,Forest Edge Cottage,Cottage near forest trail,cottage,7200,Rishikesh,Rahul Verma,4.5,31,https://example.com/images/property47.jpg
48,Mountain Retreat Homestay,Homestay in the mountains,homestay,6700,Manali,Shreya Nair,4.6,37,https://example.com/images/property48.jpg
49,Luxury Ocean Villa,Villa with infinity pool and sea view,villa,18000,Goa,Sohail Mehta,4.9,55,https://example.com/images/property49.jpg
50,Riverbend Farmhouse,Spacious farmhouse near river,farmhouse,10000,Pune,Aditi Patil,4.7,34,https://example.com/images/property50.jpg
